DAY,YEAR,JUL,REG,LOC,LOCATION ,RIVER,MALL,NOPI,AGWT,DUCKS,% ICE,% WET,County
9/12/2011,2011,255,1,5,Goose Lake,Illinois River,395,600,200,"1,845",0,-0- ,"Bureau and Putnam, Illinois"
9/22/2011,2011,265,1,5,Goose Lake,Illinois River,"1,150",600,"1,100","4,200",0,-0- ,"Bureau and Putnam, Illinois"
10/10/2011,2011,283,1,5,Goose Lake,Illinois River,400,"2,950","2,600","6,800",0,-0- ,"Bureau and Putnam, Illinois"
10/17/2011,2011,290,1,5,Goose Lake,Illinois River,"5,000","4,000","8,000","17,000",0,-0- ,"Bureau and Putnam, Illinois"
10/24/2011,2011,297,1,5,Goose Lake,Illinois River,"4,000","7,000","9,500","22,800",0,-0- ,"Bureau and Putnam, Illinois"
11/1/2011,2011,305,1,5,Goose Lake,Illinois River,"8,900","5,700","8,400","25,600",0,-0- ,"Bureau and Putnam, Illinois"
11/15/2011,2011,319,1,5,Goose Lake,Illinois River,"20,050","7,000","12,500","42,050",0,-0- ,"Bureau and Putnam, Illinois"
11/21/2011,2011,325,1,5,Goose Lake,Illinois River,"16,900","1,000","7,550","25,750",0,-0- ,"Bureau and Putnam, Illinois"
11/30/2011,2011,334,1,5,Goose Lake,Illinois River,"14,200",0,"2,900","17,260",60,-0- ,"Bureau and Putnam, Illinois"
12/7/2011,2011,341,1,5,Goose Lake,Illinois River,"7,005",20,200,"7,375",0,-0- ,"Bureau and Putnam, Illinois"
12/12/2011,2011,346,1,5,Goose Lake,Illinois River,"22,100",0,0,"22,410",70,-0- ,"Bureau and Putnam, Illinois"
12/23/2011,2011,357,1,5,Goose Lake,Illinois River,"17,105",0,0,"17,195",25,-0- ,"Bureau and Putnam, Illinois"
12/28/2011,2011,362,1,5,Goose Lake,Illinois River,"4,400",0,0,"4,510",60,-0- ,"Bureau and Putnam, Illinois"
